City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,orapa,-21.2833,25.3667,19.11,38,0,4.78,BW,1715128668
321,bellaria-igea marina,44.1421,12.47,14.95,88,40,1.54,IT,1715128668
322,rehoboth,-23.3167,17.0833,16.71,37,21,1.52,NA,1715128668
323,colares,38.7992,-9.4469,19.55,62,100,1.34,PT,1715128394
324,katsuura,35.1333,140.3,20.01,73,100,6.25,JP,1715128291
325,wenshui,28.4506,106.5267,17.46,76,100,1.2,CN,1715128669
326,posadas,-27.3671,-55.8961,22.94,70,99,3.28,AR,1715128669
327,moyynkum,44.2914,72.9469,17.58,55,91,4.64,KZ,1715128669
328,harstad,68.799,16.5293,1.75,65,0,13.86,NO,1715128670
329,porto belo,-27.1578,-48.5531,25.54,99,100,2.27,BR,1715128670
330,broome,42.2506,-75.833,18.72,68,100,1.59,US,1715128387
331,san jose de jachal,-30.2406,-68.7469,17.5,8,0,10.91,AR,1715128670
332,dera ismail khan,31.8327,70.9024,30.43,17,76,0.57,PK,1715128670
333,mugia,43.1041,-9.2179,12.73,75,100,6.32,ES,1715128671
334,chulym,55.0997,80.9572,9.05,85,17,4.59,RU,1715128671
335,mongo,12.1844,18.693,32.06,9,93,2.12,TD,1715128671
336,crucecita,-28.95,-58.9833,26.72,68,100,3.87,AR,1715128671
337,zlatni pyasatsi,43.285,28.0418,16.59,80,100,2.06,BG,1715128671
338,hagere maryam,5.6333,38.2333,14.86,99,76,1.28,ET,1715128369
339,esmeraldas,-19.7625,-44.3139,22.48,83,0,2.62,BR,1715128362
340,sejenane,37.0572,9.2381,16.53,93,100,3.73,TN,1715128672
341,petrozavodsk,61.7849,34.3469,-2.3,64,0,6.0,RU,1715128672
342,kharan,28.5833,65.4167,26.92,19,0,1.76,PK,1715128672
343,betioky,-23.7167,44.3833,20.56,70,0,3.96,MG,1715128673
344,palikir - national government center,6.9248,158.1611,26.47,94,100,4.63,FM,1715128322
345,chonchi,-42.6128,-73.8092,4.51,91,81,1.1,CL,1715128370
346,novyy urengoy,66.0833,76.6333,-5.11,95,99,7.24,RU,1715128673
347,itupiranga,-5.1347,-49.3267,26.18,86,100,0.97,BR,1715128673
348,sault ste. marie,46.5168,-84.3333,16.16,41,0,4.63,CA,1715128457
349,isernia,41.6002,14.2382,11.6,94,87,0.65,IT,1715128674
350,tegina,10.0706,6.1906,26.58,72,100,0.71,NG,1715128674
351,mahdishahr,35.7108,53.3556,11.73,40,1,3.44,IR,1715128674
352,praya,14.9215,-23.5087,24.3,60,20,4.12,CV,1715128674
353,kosh-agach,50.0,88.6667,10.17,33,100,2.24,RU,1715128675
354,chegdomyn,51.1167,133.0167,17.29,29,87,2.84,RU,1715128534
355,maicao,11.3832,-72.2432,28.85,74,100,5.01,CO,1715128457
356,pariaman,-0.619,100.12,26.03,82,100,2.01,ID,1715128287
357,tolanaro,-25.0319,46.9987,23.04,88,40,3.09,MG,1715128319
358,esens,53.6487,7.6127,11.12,92,57,2.0,DE,1715128675
359,quellon,-43.1167,-73.6167,5.59,82,94,2.26,CL,1715128411
